Название;Автор;Цена в бел.руб.;Ссылка
Больше, чем бизнес. Как преодолеть ограничения и построить великую компанию;Уильям Лазье;30.24;https://magazin.belkniga.by/catalog/biznes-literatura/bolshe_chem_biznes_kak_preodolet_ogran/
Больше, чем бизнес. Как преодолеть ограничения и построить великую компанию (м);Уильям Лазье;19.22;https://magazin.belkniga.by/catalog/biznes-literatura/al-p-biznes-bol-she-chem-biznes-kak-preodo/
Больше, чем эффективность. Как самые успешные компании сохраняют лидерство на рынке;Келлер Скот;42.81;https://magazin.belkniga.by/catalog/biznes-literatura/alp_bolshe_chem_effektivnost_kak_samye/
Большие контракты;Константин Бакшт;30.51;https://magazin.belkniga.by/catalog/biznes-literatura/bolshie_kontrakty_2_e_izdanie/
Большие продажи без компромиссов и оправданий. Система эффективных продаж по телефону и на встречах;Сергей Семенов;25.14;https://magazin.belkniga.by/catalog/biznes-literatura/alp_bolshie_prodazhi_bez_kompromissov_i/
Большие продажи на вебинарах и выступлениях. Алгоритм успеха для блогеров, предпринимателей, экспертов;Милованов Алексей Сергеевич;14.90;https://magazin.belkniga.by/catalog/biznes-literatura/biznesnastavni-bol-shie-prodazhi-na-vebina/
Бренд-менеджмент. Учебное пособие;Максим Макашев;26.84;https://magazin.belkniga.by/catalog/biznes-literatura/brend_menedzhment_uchebnoe_posobie/
Бухгалтерская (финансовая) отчетность. Учебное пособие;Лемеш В.Н., Малиновская О;7.40;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskaya-finansovaya-otchetnost-uch/
Бухгалтерский и налоговый учет, финансовый анализ и контроль: учебное пособие;Под общ. ред. А.О. Левков;11.64;https://magazin.belkniga.by/catalog/biznes-literatura/bukhgalterskiy_i_nalogovyy_uchet_finansov/
Бухгалтерский учет;Под общ. ред. П.Г. Пономаренко;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet9789850621948/
Бухгалтерский учет;Под общ. ред. П.Я. Папковской;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet9789850619747/
Бухгалтерский учет;Под общ. ред. В.Ф. Бабыны;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet9850606517/
Бухгалтерский учет;Под общ. ред. П.Я. Папковской;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet9789850618160/
Бухгалтерский учет в банках;Бабаш Л.П., Шестак О.Н., Левченко Л.П.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-v-bankah9789850618382/
Бухгалтерский учет в банках;Под общ. ред. В.И. Малой;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-v-bankah9789850612892/
Бухгалтерский учет в бюджетных организациях;Чернюк А.А.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-v-byudzhetnyh-organizaciyah985061093%D1%85/
Бухгалтерский учет в бюджетных организациях;Чернюк А.А.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-v-byudzhetnyh-organizaciyah9850609397/
Бухгалтерский учет в бюджетных организациях;Чернюк А.А.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-v-byudzhetnyh-organizaciyah9789850614421/
Бухгалтерский учет в сфере товарного обращения;Трофимова А.Н.;13.10;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-v-sfere-tovarnogo-obrascheniya9789850624673/
Бухгалтерский учет за 10 дней;Гартвич А.В.;8.83;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-za-10-dney-3-e-izdan/
Бухгалтерский учет за 14 дней. Экспресс-курс. Новое;Молчанов С.С.;16.82;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-za-14-dney-ekspress_1/
Бухгалтерский учет и отчетность в промышленности;Сушко Т.И.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-i-otchetnost-v-promyshlennosti9789850623089/
Бухгалтерский учет и отчетность в промышленности. Практикум;Добриян Т.А.;9.71;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-i-otchetnost-v-promyshlennosti-praktikum9789850627131/
Бухгалтерский учет, анализ и аудит;Под общ. ред. П.Г. Пономаренко;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-analiz-i-audit9789850617798/
Бухгалтерский учет, анализ и аудит;Под общ. ред. П.Г. Пономаренко;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-analiz-i-audit9850612495/
Бухгалтерский учет, анализ и аудит;Под общ. ред. П.Г. Пономаренко;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-analiz-i-audit9789850613035/
Бухгалтерский учет, анализ, аудит. Для экономических специальностей технических вузов;Палицин В.А.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-analiz-audit-dlya-ekonomicheskih-special-nostey-tehnicheskih-vuzov9789850617880/
Бухгалтерский учет. Практикум;Елисова Т.А., Елисова Т.В.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-praktikum9789850619433/
Бухгалтерский учет. Сборник задач по учебной практике;Барановская Л.И., Хиневич Л.М.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-sbornik-zadach-po-uchebnoy-praktike9789850615435/
Бухгалтерский учет. Учебное пособие;Левкович О.А., Бурцева И.Н.;24.20;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-uchet-uchebnoe-posobie-13-e/
Бухгалтерский финансовый учет в бюджетных организациях. В 2 ч. Часть 1.;Еськова Л.Ф.;20.52;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-finansovyy-uchet-v-byudzhetnyh-organizaciyah-v-2-ch-chast-19789850627582/
Бухгалтерский финансовый учет в бюджетных организациях. В 2 ч. Часть 2.;Еськова Л.Ф.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-finansovyy-uchet-v-byudzhetnyh-organizaciyah-v-2-ch-chast-29789850627674/
Бухгалтерский финансовый учет в промышленности. Практикум;Сушко Т.И., Сударева О.О.;19.81;https://magazin.belkniga.by/catalog/biznes-literatura/buhgalterskiy-finansovyy-uchet-v-promyshlennosti-praktikum9789850626165/
Быстрая черепаха. Неделание как способ достичь цели;Дайана Реннер;27.15;https://magazin.belkniga.by/catalog/biznes-literatura/al-pinapab-bystraya-cherepaha-nedelanie-k/
Быстрее, лучше, дешевле. Девять методов реинжиниринга бизнес-процессов;Хаммер Майкл;35.42;https://magazin.belkniga.by/catalog/biznes-literatura/bystree_luchshe_deshevle_devyat_metodov/
Быстрые деньги;Евстегнеев Александр Николаевич;6.92;https://magazin.belkniga.by/catalog/biznes-literatura/uspekhna100_bystrye_dengi/
Быстрые результаты. 10-дневная программа повышения личной эффективности;Парабеллум А.;25.14;https://magazin.belkniga.by/catalog/biznes-literatura/alpinapab_bystrye_rezultaty_10_dnevna/
Быть пиратом. Как бросить миру вызов и победить;Сэм Коннифф Альенде;21.18;https://magazin.belkniga.by/catalog/biznes-literatura/byt_piratom_kak_brosit_miru_vyzov_i_p/
Бюджетный учет и отчетность в финансовых органах;Дорофеев В.Г.;Нет в продаже;https://magazin.belkniga.by/catalog/biznes-literatura/byudzhetnyy-uchet-i-otchetnost-v-finansovyh-organah9789850621016/
В главных ролях. Найти себя, превратить мечты в планы, прокачать карьеру и жизнь;Рунге Т.;16.18;https://magazin.belkniga.by/catalog/biznes-literatura/v-glavnyh-rolyah-nayti-sebya-prevratit/
В объятиях PR, или когда клиент готов на всё;Пылаев И.;15.22;https://magazin.belkniga.by/catalog/biznes-literatura/v_obyatiyakh_pr_ili_kogda_klient_gotov_na/
В объятиях маркетинга, или когда клиент скупает все;Игорь Пылаев;14.86;https://magazin.belkniga.by/catalog/biznes-literatura/v_obyatiyakh_marketinga_ili_kogda_klient/
В одно касание. Бизнес-стратегии Google, Apple, Facebook, Amazon и других корпораций;Мехта Н. , Детройя П. , А;28.83;https://magazin.belkniga.by/catalog/biznes-literatura/v-odno-kasanie-biznes-strategii-google/
